ocel:eid,ocel:activity,ocel:timestamp,p_duration[s],s_co2e[kg],i_electric-from-grid-de[kWh],i_steel-waste-to-recycle[kg],i_gas_input[Wh],i_emission-of-burn[Wh],i_coating-material[kg],i_coating-material-waste[kg],i_compressed-air[m3],i_gas-n2-used[m3],i_gas-n2-emiited-to-air[m3],i_steel-waste[kg],i_cardboard-box[kg]
e_split_3777,SplitSteelSheet,2023-04-05 10:28:19+00:00,13.915162797,0.014550303,0.0212593,0.00042,,,,,,,,,
e_formmale_3325,CuttMalePart,2023-04-05 10:28:25+00:00,10.1195021472,0.0669278780444,0.0154604,,,,,,0.06,0.062,0.062,?,
e_coat_3704,CoatPart,2023-04-05 10:28:29+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_3705,FormSteelSheet,2023-04-05 10:28:29+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_heat_3774,HeatSteelSheet,2023-04-05 10:28:32+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3778,SplitSteelSheet,2023-04-05 10:28:33+00:00,14.3751579322,0.0150309498,0.021962,0.00042,,,,,,,,,
e_formfemale_3408,CuttFemalePart,2023-04-05 10:28:35+00:00,12.3867286473,0.0880667750222,0.0189242,,,,,,0.081,0.076,0.076,0.00252,
e_form_3707,FormSteelSheet,2023-04-05 10:28:39+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_3703,FormSteelSheet,2023-04-05 10:28:44+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_3779,SplitSteelSheet,2023-04-05 10:28:47+00:00,14.2033840232,0.0148514682,0.0216996,0.00042,,,,,,,,,
e_formmale_3233,CuttMalePart,2023-04-05 10:28:48+00:00,9.93146919119,0.0661552892889,0.0151731,,,,,,0.056,0.061,0.061,?,
e_heat_3775,HeatSteelSheet,2023-04-05 10:28:49+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_3709,FormSteelSheet,2023-04-05 10:28:51+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_formfemale_3239,CuttFemalePart,2023-04-05 10:28:58+00:00,12.5357772779,0.0940585573778,0.0191519,,,,,,0.093,0.077,0.077,0.00254,
e_form_3706,FormSteelSheet,2023-04-05 10:28:58+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_3780,SplitSteelSheet,2023-04-05 10:29:01+00:00,14.4954152788,0.015156669,0.0221458,0.00042,,,,,,,,,
e_coat_3705,CoatPart,2023-04-05 10:29:03+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_3776,HeatSteelSheet,2023-04-05 10:29:04+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_formmale_3410,CuttMalePart,2023-04-05 10:29:10+00:00,10.0511363034,0.0725936444889,0.0153559,,,,,,0.067,0.061,0.061,?,
e_coat_3707,CoatPart,2023-04-05 10:29:13+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_3777,HeatSteelSheet,2023-04-05 10:29:13+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3781,SplitSteelSheet,2023-04-05 10:29:15+00:00,14.1432610299,0.014788677,0.0216078,0.00042,,,,,,,,,
e_formfemale_3297,CuttFemalePart,2023-04-05 10:29:20+00:00,12.511979254,0.0829308242222,0.0191155,,,,,,0.068,0.076,0.076,0.00256,
e_coat_3703,CoatPart,2023-04-05 10:29:20+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_coat_3709,CoatPart,2023-04-05 10:29:26+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_3708,FormSteelSheet,2023-04-05 10:29:29+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_3782,SplitSteelSheet,2023-04-05 10:29:29+00:00,13.9417231597,0.0145780734,0.0212999,0.00042,,,,,,,,,
e_heat_3778,HeatSteelSheet,2023-04-05 10:29:32+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_formmale_3241,CuttMalePart,2023-04-05 10:29:33+00:00,10.0839870252,0.0672122168444,0.0154061,,,,,,0.061,0.062,0.062,?,
e_coat_3706,CoatPart,2023-04-05 10:29:33+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_3710,FormSteelSheet,2023-04-05 10:29:42+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_formfemale_3340,CuttFemalePart,2023-04-05 10:29:43+00:00,12.513801553,0.0876933794222,0.0191183,,,,,,0.078,0.076,0.076,0.00253,
e_heat_3779,HeatSteelSheet,2023-04-05 10:29:44+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3783,SplitSteelSheet,2023-04-05 10:29:44+00:00,14.4022136947,0.0150592674,0.0220034,0.00042,,,,,,,,,
e_moveparts_3617,MoveParts,2023-04-05 10:29:50+00:00,900.0,,,,,,,,,,,,
e_form_3711,FormSteelSheet,2023-04-05 10:29:54+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_formmale_3338,CuttMalePart,2023-04-05 10:29:55+00:00,9.9804183365,0.0712885724889,0.0152479,,,,,,0.071,0.061,0.061,?,
e_heat_3780,HeatSteelSheet,2023-04-05 10:29:57+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_3712,FormSteelSheet,2023-04-05 10:29:58+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_3784,SplitSteelSheet,2023-04-05 10:29:58+00:00,15.3168611016,0.016015089,0.0234008,0.00042,,,,,,,,,
e_coat_3708,CoatPart,2023-04-05 10:30:04+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_formfemale_3251,CuttFemalePart,2023-04-05 10:30:05+00:00,12.4248044737,0.0862665554222,0.0189823,,,,,,0.078,0.076,0.076,0.00255,
e_form_3715,FormSteelSheet,2023-04-05 10:30:05+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_heat_3781,HeatSteelSheet,2023-04-05 10:30:11+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3785,SplitSteelSheet,2023-04-05 10:30:12+00:00,13.8502523909,0.0144824502,0.0211601,0.00042,,,,,,,,,
e_coat_3710,CoatPart,2023-04-05 10:30:17+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_formmale_3291,CuttMalePart,2023-04-05 10:30:18+00:00,9.9276998448,0.0655972820889,0.0151673,,,,,,0.06,0.061,0.061,?,
e_heat_3782,HeatSteelSheet,2023-04-05 10:30:25+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3786,SplitSteelSheet,2023-04-05 10:30:26+00:00,14.0759506216,0.0147182934,0.0215049,0.00042,,,,,,,,,
e_formfemale_3403,CuttFemalePart,2023-04-05 10:30:28+00:00,12.5215867972,0.0895977145778,0.0191302,,,,,,0.084,0.077,0.077,0.00254,
e_coat_3711,CoatPart,2023-04-05 10:30:28+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_3714,FormSteelSheet,2023-04-05 10:30:32+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_3712,CoatPart,2023-04-05 10:30:33+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_3713,FormSteelSheet,2023-04-05 10:30:38+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_formmale_3405,CuttMalePart,2023-04-05 10:30:40+00:00,10.0942033528,0.0692748872444,0.0154217,,,,,,0.063,0.062,0.062,?,
e_coat_3715,CoatPart,2023-04-05 10:30:40+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_3787,SplitSteelSheet,2023-04-05 10:30:40+00:00,14.500699054,0.015162141,0.0221538,0.00042,,,,,,,,,
e_heat_3783,HeatSteelSeet,2023-04-05 10:30:42+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_formfemale_3402,CuttFemalePart,2023-04-05 10:30:50+00:00,12.4754947195,0.0824070854222,0.0190598,,,,,,0.068,0.076,0.076,0.00255,
e_heat_3784,HeatSteelSheet,2023-04-05 10:30:53+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3788,SplitSteelSheet,2023-04-05 10:30:54+00:00,14.4309719164,0.015089295,0.0220473,0.00042,,,,,,,,,
e_formmale_3341,CuttMalePart,2023-04-05 10:31:03+00:00,10.0592550269,0.0739085660889,0.0153683,,,,,,0.079,0.061,0.061,?,
e_coat_3714,CoatPart,2023-04-05 10:31:08+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_3785,HeatSteelSheet,2023-04-05 10:31:08+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3789,SplitSteelSheet,2023-04-05 10:31:09+00:00,13.9347390679,0.0145707546,0.0212892,0.00042,,,,,,,,,
e_formfemale_3412,CuttFemalePart,2023-04-05 10:31:13+00:00,12.4631207631,0.0878456378222,0.0190409,,,,,,0.082,0.076,0.076,0.00255,
e_coat_3713,CoatPart,2023-04-05 10:31:13+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_3790,SplitSteelSheet,2023-04-05 10:31:23+00:00,13.931832633,0.0145676766,0.0212847,0.00042,,,,,,,,,
e_formmale_3374,CuttMalePart,2023-04-05 10:31:25+00:00,9.89508190588,0.0676068633333,0.0151175,,,,,,0.057,0.06,0.06,?,
e_heat_3786,HeatSteelSheet,2023-04-05 10:31:26+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_3719,FormSteelSheet,2023-04-05 10:31:33+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_formfemale_3277,CuttFemalePart,2023-04-05 10:31:35+00:00,12.4400253106,0.0851744126222,0.0190056,,,,,,0.077,0.076,0.076,0.00253,
e_heat_3787,HeatSteeSheet,2023-04-05 10:31:36+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3791,SplitSteelSheet,2023-04-05 10:31:37+00:00,14.1239316574,0.0147684306,0.0215782,0.00042,,,,,,,,,
e_form_3717,FormSteelSheet,2023-04-05 10:31:45+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_formmale_3415,CuttMalePart,2023-04-05 10:31:48+00:00,9.94810225532,0.0695105828889,0.0151985,,,,,,0.071,0.061,0.061,?,
e_form_3722,FormSteelSheet,2023-04-05 10:31:50+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_heat_3788,HeatSteelSheet,2023-04-05 10:31:50+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3792,SplitSteelSheet,2023-04-05 10:31:51+00:00,14.7926562698,0.0154672734,0.0225999,0.00042,,,,,,,,,
e_formfemale_3324,CuttFemalePart,2023-04-05 10:31:58+00:00,12.5044288696,0.0905905982222,0.019104,,,,,,0.091,0.076,0.076,0.00253,
e_form_3716,FormSteelSheet,2023-04-05 10:31:59+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_3721,FormSteelSheet,2023-04-05 10:32:03+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_3793,SplitSteelSheet,2023-04-05 10:32:05+00:00,13.912080382,0.0145470882,0.0212546,0.00042,,,,,,,,,
e_heat_3789,HeatSteelSheet,2023-04-05 10:32:07+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_3719,CoatPart,2023-04-05 10:32:08+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_formmale_3377,CuttMalePart,2023-04-05 10:32:10+00:00,10.025504401,0.0628882316889,0.0153167,,,,,,0.051,0.061,0.061,?,
e_form_3718,FormSteelSheet,2023-04-05 10:32:14+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_3794,SplitSteelSheet,2023-04-05 10:32:19+00:00,13.8525074805,0.0144848442,0.0211636,0.00042,,,,,,,,,
e_formfemale_3388,CuttFemalePart,2023-04-05 10:32:20+00:00,12.4085428023,0.0853261922222,0.0189575,,,,,,0.074,0.076,0.076,0.00256,
e_coat_3717,CoatPart,2023-04-05 10:32:21+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_3790,HeatStelSheet,2023-04-05 10:32:22+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_3722,CoatPart,2023-04-05 10:32:24+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_formmale_3353,CuttMalePart,2023-04-05 10:32:33+00:00,9.92910668452,0.0726097868889,0.0151695,,,,,,0.07,0.061,0.061,?,
e_split_3795,SplitSteelSheet,2023-04-05 10:32:33+00:00,14.7621072179,0.0154353306,0.0225532,0.00042,,,,,,,,,
e_coat_3716,CoatPart,2023-04-05 10:32:34+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_3791,HeatSteelSheet,2023-04-05 10:32:34+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_3721,CoatPart,2023-04-05 10:32:38+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_3723,FormSteelSheet,2023-04-05 10:32:39+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_formfemale_3420,CuttFemalePart,2023-04-05 10:32:43+00:00,12.4923167002,0.0844698242222,0.0190855,,,,,,0.076,0.076,0.076,0.00254,
e_heat_3792,HeatSteelSheet,2023-04-05 10:32:46+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3796,SplitSteelSheet,2023-04-05 10:32:47+00:00,14.2884526831,0.0149403882,0.0218296,0.00042,,,,,,,,,
e_coat_3718,CoatPart,2023-04-05 10:32:50+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_formmale_3380,CuttMalePart,2023-04-05 10:32:55+00:00,9.98927086327,0.0703675664889,0.0152614,,,,,,0.068,0.061,0.061,?,
e_form_3725,FormSteelSheet,2023-04-05 10:32:57+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_heat_3793,HeatSteelSheet,2023-04-05 10:33:01+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3797,SplitSteelSheet,2023-04-05 10:33:02+00:00,15.0618107473,0.0157485342,0.0230111,0.00042,,,,,,,,,
e_formfemale_3270,CuttFemalePart,2023-04-05 10:33:05+00:00,12.4533892801,0.0836767262222,0.019026,,,,,,0.072,0.076,0.076,0.00253,
e_form_3724,FormSteelSheet,2023-04-05 10:33:11+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_3723,CoatPart,2023-04-05 10:33:14+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_3794,HeatSteelSheet,2023-04-05 10:33:14+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_3720,FormSteelSheet,2023-04-05 10:33:15+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_3798,SplitSteelSheet,2023-04-05 10:33:16+00:00,14.7822427202,0.0154563978,0.022584,0.00042,,,,,,,,,
e_formmale_3230,CuttMalePart,2023-04-05 10:33:17+00:00,9.97122145225,0.0693363680889,0.0152338,,,,,,0.07,0.061,0.061,?,
e_formfemale_3220,CuttFemalePart,2023-04-05 10:33:28+00:00,12.6073810572,0.0887161069778,0.0192613,,,,,,0.085,0.077,0.077,0.00255,
e_heat_3795,HeatSteelSheet,2023-04-05 10:33:29+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3799,SplitSteelSheet,2023-04-05 10:33:30+00:00,13.8823258364,0.0145159662,0.0212091,0.00042,,,,,,,,,
e_coat_3725,CoatPart,2023-04-05 10:33:32+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_3726,FormSteelSheet,2023-04-05 10:33:34+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_formmale_3381,CuttMalePart,2023-04-05 10:33:40+00:00,9.93615841351,0.0679864256889,0.0151802,,,,,,0.06,0.061,0.061,?,
e_heat_3796,HeatSteelSheet,2023-04-05 10:33:44+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3800,SplitSteelSheet,2023-04-05 10:33:44+00:00,13.8605765089,0.0144932574,0.0211759,0.00042,,,,,,,,,
e_coat_3724,CoatPart,2023-04-05 10:33:46+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_3729,FormSteelSheet,2023-04-05 10:33:48+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_formfemale_3406,CuttFemalePart,2023-04-05 10:33:50+00:00,12.4612524214,0.0866398142222,0.019038,,,,,,0.079,0.076,0.076,0.00255,
e_coat_3720,CoatPart,2023-04-05 10:33:50+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_3731,FormSteelSheet,2023-04-05 10:33:53+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_heat_3797,HeatSteelSheet,2023-04-05 10:33:58+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3801,SplitSteelSheet,2023-04-05 10:33:58+00:00,14.7401552583,0.0154124166,0.0225197,0.00042,,,,,,,,,
e_formmale_3382,CuttMalePart,2023-04-05 10:34:03+00:00,10.0191927278,0.0666163052889,0.0153071,,,,,,0.053,0.061,0.061,?,
e_form_3728,FormSteelSheet,2023-04-05 10:34:03+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_3727,FormSteelSheet,2023-04-05 10:34:06+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_3726,CoatPart,2023-04-05 10:34:09+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_3798,HeatSteelSheet,2023-04-05 10:34:12+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3802,SplitSteelSheet,2023-04-05 10:34:12+00:00,14.2378759634,0.014887515,0.0217523,0.00042,,,,,,,,,
e_formfemale_3257,CuttFemalePart,2023-04-05 10:34:13+00:00,12.4537173995,0.0868029482222,0.0190265,,,,,,0.081,0.076,0.076,0.00253,
e_coat_3729,CoatPart,2023-04-05 10:34:23+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_3799,HeatSteelSheet,2023-04-05 10:34:25+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3803,SplitSteelSheet,2023-04-05 10:34:27+00:00,14.1255003425,0.0147700722,0.0215806,0.00042,,,,,,,,,
e_coat_3731,CoatPart,2023-04-05 10:34:28+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_3733,FormSteelSheet,2023-04-05 10:34:32+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_3728,CoatPart,2023-04-05 10:34:38+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_3800,HeatSteelSheet,2023-04-05 10:34:40+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_3727,CoatPart,2023-04-05 10:34:41+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_3804,SplitSteelSheet,2023-04-05 10:34:41+00:00,14.4093675095,0.015066723,0.0220143,0.00042,,,,,,,,,
e_form_3732,FormSteelSheet,2023-04-05 10:34:43+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_3734,FormSteelSheet,2023-04-05 10:34:47+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_3805,SplitSteelSheet,2023-04-05 10:34:55+00:00,13.6389781119,0.014261655,0.0208373,0.00042,,,,,,,,,
e_heat_3801,HeatSteelSheet,2023-04-05 10:34:57+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_3733,CoatPart,2023-04-05 10:35:07+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_3802,HeatSteelSheet,2023-04-05 10:35:09+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3806,SplitSteelSheet,2023-04-05 10:35:09+00:00,14.6567025679,0.0153252066,0.0223922,0.00042,,,,,,,,,
e_form_3736,FormSteelSheet,2023-04-05 10:35:12+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_3730,FormSteelSheet,2023-04-05 10:35:16+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_3732,CoatPart,2023-04-05 10:35:18+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_3735,FormSteelSheet,2023-04-05 10:35:19+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_3734,CoatPart,2023-04-05 10:35:23+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_3807,SplitSteelSheet,2023-04-05 10:35:23+00:00,14.7299216272,0.0154016778,0.022504,0.00042,,,,,,,,,
e_heat_3803,HeatSteelSheet,2023-04-05 10:35:24+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_3737,FormSteelSheet,2023-04-05 10:35:36+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_3808,SplitSteelSheet,2023-04-05 10:35:37+00:00,13.9073893617,0.0145421634,0.0212474,0.00042,,,,,,,,,
e_heat_3804,HeatSteelSheet,2023-04-05 10:35:40+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_3739,FormSteelSheet,2023-04-05 10:35:42+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_3736,CoatPart,2023-04-05 10:35:47+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_coat_3730,CoatPart,2023-04-05 10:35:51+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_3809,SplitSteelSheet,2023-04-05 10:35:51+00:00,14.0232095503,0.014663163,0.0214243,0.00042,,,,,,,,,
e_heat_3805,HeatSteelSheet,2023-04-05 10:35:52+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_3735,CoatPart,2023-04-05 10:35:54+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_3738,FormSteelSheet,2023-04-05 10:36:04+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_3810,SplitSteelSheet,2023-04-05 10:36:05+00:00,14.5169326207,0.0151791042,0.0221786,0.00042,,,,,,,,,
e_heat_3806,HeaSteelSheet,2023-04-05 10:36:06+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_3737,CoatPart,2023-04-05 10:36:11+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_coat_3739,CoatPart,2023-04-05 10:36:16+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_3811,SplitSteelSheet,2023-04-05 10:36:18+00:00,14.5919388123,0.0152574906,0.0222932,0.00042,,,,,,,,,
e_heat_3807,HeatSteelheet,2023-04-05 10:36:22+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_3741,FormSteelSheet,2023-04-05 10:36:25+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_3812,SplitSteelSheet,2023-04-05 10:36:33+00:00,14.1703051786,0.0148169262,0.0216491,0.00042,,,,,,,,,
e_coat_3738,CoatPart,2023-04-05 10:36:38+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_3740,FormSteelSheet,2023-04-05 10:36:38+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_heat_3808,HeatSteelSheet,2023-04-05 10:36:38+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_heat_3809,HeatSteeSheet,2023-04-05 10:36:47+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3813,SplitSteelSheet,2023-04-05 10:36:47+00:00,14.2637863035,0.0149146014,0.0217919,0.00042,,,,,,,,,
e_form_3743,FormSteelSheet,2023-04-05 10:36:52+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_3742,FormSteelSheet,2023-04-05 10:36:59+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_3741,CoatPart,2023-04-05 10:37:00+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_3810,HatSteelSheet,2023-04-05 10:37:02+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3814,SplitSteelSheet,2023-04-05 10:37:02+00:00,13.8602578747,0.0144929154,0.0211754,0.00042,,,,,,,,,
e_coat_3740,CoatPart,2023-04-05 10:37:13+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_3811,HeatSteelSheet,2023-04-05 10:37:15+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3815,SplitSteelSheet,2023-04-05 10:37:16+00:00,14.5672666672,0.0152317038,0.0222555,0.00042,,,,,,,,,
e_coat_3743,CoatPart,2023-04-05 10:37:26+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_3816,SplitSteelSheet,2023-04-05 10:37:30+00:00,14.2403870164,0.0148901142,0.0217561,0.00042,,,,,,,,,
e_heat_3812,HeatSteelSheet,2023-04-05 10:37:33+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_3742,CoatPart,2023-04-05 10:37:34+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_3813,HeatSteelSheet,2023-04-05 10:37:42+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3817,SplitSteelSheet,2023-04-05 10:37:44+00:00,14.1707236488,0.0148173366,0.0216497,0.00042,,,,,,,,,
e_form_3744,FormSteelSheet,2023-04-05 10:37:46+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_3746,FormSteelSheet,2023-04-05 10:37:49+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_3747,FormSteelSheet,2023-04-05 10:37:55+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_3818,SplitSteelSheet,2023-04-05 10:37:58+00:00,14.7868712936,0.0154612542,0.0225911,0.00042,,,,,,,,,
e_heat_3814,HeatSteelSheet,2023-04-05 10:37:59+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_3819,SplitSteelSheet,2023-04-05 10:38:12+00:00,14.5679944147,0.0152325246,0.0222567,0.00042,,,,,,,,,
e_heat_3815,HeatSteelSheet,2023-04-05 10:38:13+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_3745,FormSteelSheet,2023-04-05 10:38:17+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_3744,CoatPart,2023-04-05 10:38:21+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_coat_3746,CoatPart,2023-04-05 10:38:24+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_3820,SplitSteelSheet,2023-04-05 10:38:26+00:00,14.9180824633,0.0155983278,0.0227915,0.00042,,,,,,,,,
